"targetx1","targety1","targetx2","targety2","d","day","x1","y1","x2","y2","departuretime","arrivaltime","transitdistance","transittime","bustime","walktime","waittime","td"
118.311788084311,24.4265721954409,118.424024009053,24.4910455777605,13448.1374367521,"days",118.3112565,24.4269488,118.4245315,24.4905278,"7:01am","10:50am",23.5,228.9,112.5,26.4,90,0.0170209444301517
118.318119576451,24.4391489033381,118.328573018327,24.3968403102037,4827.49059670143,"days",118.3179562,24.4390561,118.3274296,24.3961742,"7:01am","8:50am",6.6,108.2,22,26.2,60,0.0224133010375892
118.247746771982,24.426281222978,118.407557741386,24.4989818393712,18102.8338248786,"days",118.286415,24.415166,118.4067589,24.4999086,"7:01am","12:40pm",30.4,369,149,24.9,195.1,0.0203835489829712
118.311093710045,24.4344759183323,118.41094902309,24.4384317678166,10129.6687418381,"days",118.3112891,24.4343921,118.411198,24.4387862,"7:02am","8:53am",11.8,111.7,53,18.6,40.1,0.0110270140955993
118.246443711304,24.4489150066573,118.322948372595,24.4428643785091,7782.18351587478,"days",118.286415,24.415166,118.3229305,24.4428814,"7:02am","8:47am",6.8,135.6,28.5,17.1,90,0.0174244156184946
118.311121287438,24.4024030696736,118.325104949078,24.4324355859632,3631.26784568462,"days",118.3111566,24.4024662,118.3250895,24.4324835,"7:04am","7:39am",4.4,34.7,13.2,21.5,3.5527136788005e-15,0.00955589107568513
118.406587963747,24.4427756912604,118.313262269017,24.4291028179407,9580.05336526589,"days",118.4064495,24.4426606,118.3132611,24.429125,"7:03am","8:31am",11.7,87.3,51.2,21.2,14.9,0.00911268410221189
118.367809231881,24.4587161542634,118.446353163658,24.4262711457276,8740.94421855106,"days",118.3677876,24.4587536,118.4459728,24.4260018,"7:02am","10:08am",12.9,186.6,65.1,6.4,115.1,0.0213478081239754
118.423372999594,24.4367539824929,118.321631797594,24.4291033434674,10346.6221110649,"days",118.4235409,24.4371715,118.321707,24.4292216,"7:02am","8:34am",12.5,92.1,56,21.1,15,0.00890145585789843
118.431282396783,24.4579253874629,118.349385426838,24.4564211235479,8300.38307024221,"days",118.4309659,24.4581489,118.3497254,24.4567397,"7:02am","10:44am",11.7,222,57.6,14.4,150,0.0267457535539407
118.423728767452,24.4446758836565,118.3945292435,24.4599822886069,3414.45946578425,"days",118.4238073,24.4446985,118.3939199,24.4607023,"7:10am","9:24am",7.4,134.4,14.5,59.9,60,0.0393620136208384
